id,word,part_of_speech,cefr_level,phonetic_uk,phonetic_us,thai_meaning,example_sentence,example_translation,category,distractors,audio_key,note,raw_entry
1004,brain,n.,A2,,,,,,General,,brain,,brain n.
1005,bridge,n.,A2,,,,,,General,,bridge,,bridge n.
1006,bright,adj.,A2,,,,,,General,,bright,,bright adj.
1007,brilliant,adj.,A2,,,,,,General,,brilliant,,brilliant adj.
1008,broken,adj.,A2,,,,,,General,,broken,,broken adj.
1009,brush,"v., n.",A2,,,,,,General,,brush,,"brush v., n."
1010,burn,v.,A2,,,,,,General,,burn,,burn v.
1011,businessman,n.,A2,,,,,,General,,businessman,,businessman n.
1012,button,n.,A2,,,,,,General,,button,,button n.
1013,camp,"n., v.",A2,,,,,,General,,camp,,"camp n., v."
1014,camping,n.,A2,,,,,,General,,camping,,camping n.
1015,can,n.,A2,,,,,,General,,can,sense 2,can2 n.
1016,care,"n., v.",A2,,,,,,General,,care,,"care n., v."
1017,careful,adj.,A2,,,,,,General,,careful,,careful adj.
1018,carefully,adv.,A2,,,,,,General,,carefully,,carefully adv.
1019,carpet,n.,A2,,,,,,General,,carpet,,carpet n.
1020,cartoon,n.,A2,,,,,,General,,cartoon,,cartoon n.
1021,case,n.,A2,,,,,,General,,case,,case n.
1022,cash,n.,A2,,,,,,General,,cash,,cash n.
1023,castle,n.,A2,,,,,,General,,castle,,castle n.
1024,catch,v.,A2,,,,,,General,,catch,,catch v.
1025,cause,"n., v.",A2,,,,,,General,,cause,,"cause n., v."
1026,celebrate,v.,A2,,,,,,General,,celebrate,,celebrate v.
1027,celebrity,n.,A2,,,,,,General,,celebrity,,celebrity n.
1028,certain,adj.,A2,,,,,,General,,certain,,certain adj.
1029,certainly,adv.,A2,,,,,,General,,certainly,,certainly adv.
1030,chance,n.,A2,,,,,,General,,chance,,chance n.
1031,character,n.,A2,,,,,,General,,character,,character n.
1032,charity,n.,A2,,,,,,General,,charity,,charity n.
1033,chat,"v., n.",A2,,,,,,General,,chat,,"chat v., n."
1034,check,n.,A2,,,,,,General,,check,,check n.
1035,chef,n.,A2,,,,,,General,,chef,,chef n.
1036,chemistry,n.,A2,,,,,,General,,chemistry,,chemistry n.
1037,chip,n.,A2,,,,,,General,,chip,,chip n.
1038,choice,n.,A2,,,,,,General,,choice,,choice n.
1039,church,n.,A2,,,,,,General,,church,,church n.
1040,cigarette,n.,A2,,,,,,General,,cigarette,,cigarette n.
1041,circle,"n., v.",A2,,,,,,General,,circle,,"circle n., v."
1042,classical,adj.,A2,,,,,,General,,classical,,classical adj.
1043,clear,adj.,A2,,,,,,General,,clear,,clear adj.
1044,clearly,adv.,A2,,,,,,General,,clearly,,clearly adv.
1045,clever,adj.,A2,,,,,,General,,clever,,clever adj.
1046,climate,n.,A2,,,,,,General,,climate,,climate n.
1047,close,adj.,A2,,,,,,General,,close,sense 2,close2 adj.
1048,closed,adj.,A2,,,,,,General,,closed,,closed adj.
1049,clothing,n.,A2,,,,,,General,,clothing,,clothing n.
1050,cloud,n.,A2,,,,,,General,,cloud,,cloud n.
1051,coach,n.,A2,,,,,,General,,coach,,coach n.
1052,coast,n.,A2,,,,,,General,,coast,,coast n.
1053,code,n.,A2,,,,,,General,,code,,code n.
1054,colleague,n.,A2,,,,,,General,,colleague,,colleague n.
1055,collect,v.,A2,,,,,,General,,collect,,collect v.
1056,column,n.,A2,,,,,,General,,column,,column n.
1057,comedy,n.,A2,,,,,,General,,comedy,,comedy n.
1058,comfortable,adj.,A2,,,,,,General,,comfortable,,comfortable adj.
1059,comment,n.,A2,,,,,,General,,comment,,comment n.
1060,communicate,v.,A2,,,,,,General,,communicate,,communicate v.
1061,community,n.,A2,,,,,,General,,community,,community n.
